Name,Description,Category,Condition,Location,Quantity
Bible,KJV Leatherbound,Books,Good,Office Closet,67
Pew,Oak Bench,Furniture,Used,Chapel Storage,24
Chalice,Silver Communion Cup,Utensils,Antique,Altar Display,2
Hymnal,NIV Hardcover,Books,New,Youth Room,35
Offering Plate,Gold-Plated,Utensils,Good,Main Church,15
Projector,HDMI Enabled,Electronics,Fair,Office Closet,1
Cross,Wooden Wall Cross,Decor,New,Altar Display,5
Candlestick,Silver with Glass Holders,Decor,Antique,Chapel Storage,3
Altar Cloth,Embroidered White Linen,Linens,Used,Main Church,10
Communion Tray,Silver Communion Cup,Utensils,New,Outreach Center,20
